LOAD DATA
INFILE *
INTO TABLE who_service_charge
REPLACE
FIELDS TERMINATED BY '|'
TRAILING NULLCOLS
(
princ
,pct
,charge
,amount
,account
,service_id
)
BEGINDATA
ay|100|6.64|6.64|80688|1
ay|100|6.3|6.3|80688|6
ay|100|4.46|4.46|80688|7
ay|100|40.39|40.39|80688|8
ay|100|12.98|12.98|80688|28
jspotter|80|6.64|5.31|4123|1
jspotter|20|6.64|1.33|4122|1
jspotter|80|6.3|5.04|4123|6
ps0f|100|6.64|6.64|76628|1
ps0f|100|6.3|6.3|76628|6
ps0f|100|4.46|4.46|76628|7
ps0f|100|40.39|40.39|76628|8
ps0f|100|20.56|20.56|76628|46
ben|40|6.64|2.66|59293|1
ben|30|6.64|1.99|59787|1
sohn|1|6.3|.06|4723|6
sohn|1|4.46|.04|4723|7
sohn|1|20.56|.21|4723|46
kmilans|46.15|40.39|18.64|3824|8
kmilans|46.15|12.98|5.99|3824|28
jaekyung|37.5|6.64|2.49|3826|1
elissa|50|40.39|20.2|75107|8
kmilans|46.15|20.56|9.49|3824|46
yangke|75|6.64|4.98|3825|1
yangke|25|6.64|1.66|3824|1
yangke|75|6.3|4.73|3825|6
yangke|25|6.3|1.57|3824|6
yangke|75|4.46|3.35|3825|7
yangke|25|4.46|1.11|3824|7
yangke|75|40.39|30.29|3825|8
yangke|25|40.39|10.1|3824|8
yangke|75|12.98|9.74|3825|28
yangke|25|12.98|3.24|3824|28
yangke|75|20.56|15.42|3825|46
yangke|25|20.56|5.14|3824|46
ljc|5|6.64|.33|53510|1
ljc|5|6.3|.32|53510|6
ljc|5|4.46|.22|53510|7
ljc|5|40.39|2.02|53510|8
ljc|5|12.98|.65|53510|28
ljc|5|20.56|1.03|53510|46
jaekyung|37.5|6.3|2.36|3826|6
jaekyung|37.5|4.46|1.67|3826|7
jaekyung|37.5|40.39|15.15|3826|8
jaekyung|37.5|12.98|4.87|3826|28
jaekyung|37.5|20.56|7.71|3826|46
ay|100|20.56|20.56|80688|46
baird|70|6.64|4.65|16459|1
baird|20|6.64|1.33|16456|1
baird|10|6.64|.66|16450|1
baird|70|6.3|4.41|16459|6
